Identifier,Name,Description,Organisational Structure,Primary Activity,Activities,Street Address,Locality,Region,Postcode,Country ID,Territory ID,Website,Phone,Email,Twitter,Facebook,Companies House Number,Qualifiers,Membership Type,Latitude,Longitude,Geo Container,Geo Container Latitude,Geo Container Longitude,Sector,SIC Section,SIC Code,Ownership Classification,Legal Form,Legal Form Subcategory 1,Legal Form Subcategory 1,UK Nation,Type of Organisation,Registered Status,Registered Number,Registrar,Incorporation Date,Dissolved Date,Organisation Name,WC Legal Form
R025671,Metro-Boulot-Dodo,"MBD creates beautiful and emotive storytelling experiences using virtual reality, augmented reality and large scale projection. We use a blend of traditional arts expertise and technological innovation to bring stories to life. MBD tells stories from our past and present to create a better future.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,2-4 Silver Walk,Leicester,Leicester,LE1 5EW,GB,,http://www.mbd.limited,,,,,04711097,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Arts and Culture,"Arts, Entertainment and Recreation",90030,Workers,Company,,,England,,Live,04711097,Companies House,2003-03-25,,Metro-Boulot-Dodo Limited,
R033362,With Compliments Workers' Cooperative,"With Compliments aims to deliver holistic therapies and education that will engage, encourage and inspire a new way of living.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,43 Oranmore Street,Belfast,Belfast,BT13 3RU,GB,,http://www.facebook.com/profile.php?id=100078006350052,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,86900,Workers,Society,,,Northern Ireland,,Live,4821,FCA,2021-07-19,,With Compliments Workers' Cooperative Limited,
R015180,The Bicycle Co-operative,"Our aim is to provide Jersey with affordable bikes, clothing and accessories for all the family. From your child's first stabilisers, to electric bikes, through to top of the range racing thoroughbreds. We also offer bike servicing plus a full range of cycling accessories.

We are a worker co-operative, which means our staff are effectively part owners, motivated to provide you with exceptional service. Cycling is becoming more and more popular and we want to encourage everyone to use their bikes more often, whether it be for recreational use, commuting or even competing! As you will see, we have bikes for every member of your family, including electric assisted bikes for those who want a helping hand with the many hills we have to face around the island.

So please do pop into the shop, see what we have to offer and have a chat with one of our friendly staff.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,"9 La Ville Vautier
La Rue Des Cosnets",St Ouen,,JE3 2WF,JE,,http://coopbikes.com/,,,,,119598,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47640,Workers,Company,,,Jersey,,Live,119598,Companies House,2015-09-30,,The Bicycle Co-operative Ltd,
R031073,Green Bay Projects,Consultancy and education on the ideas of Resilience Theory,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,135 Lincoln Street,Norwich,Norfolk,NR2 3JZ,GB,,,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",72200,Workers,Society,,,England,,Live,4748,FCA,2020-11-09,,Green Bay Projects Limited,
R031115,Edinburgh Agroecology Co-op / Lauriston Farm,"Transforming an existing farm into an urban food production and community hub that benefits, supports and regenerates the environment and all those connected to it.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS120,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA10,,23 Lixmount Avenue,Edinburgh,City of Edinburgh,EH5 3EW,GB,,http://www.lauristonfarm.scot,,,,,SC668231,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Agriculture,"Agriculture, Forestry and Fishing",01130,Workers,Community Interest Company,,,Scotland,,Live,SC668231,Companies House,2020-07-21,,Edinburgh Agroecology Co-op CIC,
R030138,The Psychedelic Society,The Psychedelic Society believes the conscious use of psychedelics can help create a more compassionate and joyful world through an appreciation of the unity and interconnectedness of all things.,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,8 Heath Way,Totnes,Devon,TQ9 5GP,GB,,https://dandelion.coop/,,,,,09603539,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Membership associations, social clubs and trade unions",Other Service Activities,94990,Workers,Company,,,England,,Live,09603539,Companies House,2015-05-21,,Dandelion Collective Ltd,
R029754,Trademark Belfast Cooperative,"Established in 2001, Trademark is the anti-sectarian unit of the Irish Congress of Trade Unions (ICTU) dedicated to challenging inequality through community and workplace interventions, education and research on a range of themes including peace-building, community relations and political economy.

For almost three decades Trademark and its predecessor, Counteract, have been at the forefront of efforts to provide a trade-union based analysis of and response to the constitutional, political, economic and conflict-related challenges facing Northern Ireland. From our base on the Falls/Shankill interface in West Belfast, Trademark operates on an all-island basis and is proactive in encouraging various constituencies – public agencies, political parties, trade unions, interface communities, migrant workers and minority ethnic communities, ex-prisoners – to engage in dialogue around the constitutional question and the possibilities for building a better social and economic future in Ireland.

From its inception Trademark has functioned as a roving community and workers’ college, delivering core trade union education in addition to bespoke political economy programmes developed in the wake of the 2007/08 financial crisis. We have been working consistently to embed radical political education in the Irish and British trade union movements, with the aim of ‘growing’ a cohort of trade union activists that are equipped with the tools to understand, analyse and critique the system as well as advance progressive alternatives. We see education linked to organising and

We also work closely with trade union, grassroots civil society and left political actors across Europe to promote alternative economic and political strategies.

Worker and community-owned co-operative enterprises can offer a practical alternative means to create employment, tackle economic inequality and also build a class consciousness by bringing workers together daily to work democratically for joint benefit in which values of trust and democracy replace the dynamics of suspicion and mistrust, building permanent structures with real relationships.

Trademark assists in the development of community- and worker-owned co-operatives by engaging with those who have yet not participated in what can often be short term impermanent peace building activities, in developing successful business ventures they can contribute to economic security and community regeneration leaving a genuine legacy of sustainability and social justice.

Trademark is a member of the Worker Cooperative Network which brings together worker cooperative from across the island of Ireland to promote worker cooperatives  and inter-cooperation.

Trademark is also a supporter of the Belfast Cleaning Society and were founding members of a Co-operative Development body, Co-operative Alternatives",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"NG2 North Building
Twin Spires Centre
155 Northumberland Street",Belfast,Belfast,BT13 2JF,GB,,http://www.trademarkbelfast.com,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",74000,Workers,Society,,,Northern Ireland,,Live,4685,FCA,2020-02-19,,Trademark Belfast Cooperative Limited,
R020574,Third Sector Accountancy,"Third Sector Accountancy are a non-profit organisation firm of Chartered Accountants and Registered Auditors offering accountancy services primarily to those in the third sector. 

Third Sector Accountancy are unique in offering an ethical and co-operative approach to the provision of financial services.

We're a team of 16 people, able to offer a wealth of accounting, auditing and book-keeping experience and skills.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"Holyoake House
Hanover Street",Manchester,Manchester,M60 0AS,GB,,http://www.thirdsectoraccountancy.coop,,,,,10581248,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",69200,Workers,Company,,,England,,Live,10581248,Companies House,2017-01-24,,Third Sector Accountancy Limited,
R000694,4 Seasons (Hull),4 Seasons (Hull) is a co-operative based in Hull and supported by Mencap with a single aim; to provide people with a learning disability the opportunity to participate in rewarding and meaningful employment in a horticultural setting.,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA120,,"C/O Sandhill Garden Centre
Wyton Road
Preston",Hull,East Riding of Yorkshire,HU12 8TY,GB,,http://4-seasons.org,,,,,03496992,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Housing,Administrative and Support Services,81300,Workers,Company,,,England,,Live,03496992,Companies House,1998-01-22,,4 Seasons (Hull) Ltd,
R000149,Brixton Cycles,A workers co-operative selling bikes and all things to do with bikes.,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,"296 - 298 Brixton Rd
Brixton",London,Lambeth,SW9 6AG,GB,,http://www.brixtoncycles.co.uk,,,,,01772005,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47789,Workers,Company,,,England,,Live,01772005,Companies House,1983-11-22,,Brixton Cycles Limited,
